idSolicitud,idAgente,idUsuario,FechaCreacion,FechaResolucion,Categoria,SubCategoria,idModo,idModulo,ValorEncuesta
18061,694,562,"2020-01-15 01:40:52",NULL,"Soporte Externo",Consulta,9,65,0
18065,105,537,"2020-01-15 04:18:52",NULL,"Soporte Externo","Base de datos (firebird)",9,65,0
18066,694,513,"2020-01-15 04:31:40",NULL,"Soporte Externo","Candados o PDA",9,65,0
18067,694,570,"2020-01-15 05:03:12",NULL,"Soporte Externo",Consulta,9,64,0
18068,105,551,"2020-01-15 05:12:16",NULL,"Soporte Externo",Configuración,8,71,0
18069,694,568,"2020-01-15 05:18:19",NULL,"Soporte Externo",Consulta,10,76,0
18070,694,512,"2020-01-15 05:42:22",NULL,"Soporte Externo",Consulta,9,64,0
18071,694,522,"2020-01-15 06:04:04",NULL,"Soporte Externo",Consulta,9,73,0
18073,105,522,"2020-01-15 06:15:43",NULL,"Soporte Externo",Capacitación,9,64,0
18074,694,523,"2020-01-15 06:23:24",NULL,"Soporte Externo",Consulta,9,64,0
18076,694,538,"2020-01-15 23:01:21",NULL,"Soporte Externo",Reportes,9,72,0
18077,64,538,"2020-01-16 00:34:27",NULL,"Soporte Externo",Configuración,10,65,0
18078,694,537,"2020-01-16 00:45:52",NULL,"Soporte Externo",Consulta,9,64,0
18080,694,571,"2020-01-16 01:14:06",NULL,"Soporte Externo",Consulta,9,65,0
18081,694,535,"2020-01-16 01:21:53",NULL,"Soporte Externo",Configuración,8,64,0
18082,64,548,"2020-01-16 01:27:33",NULL,"Soporte Externo",Consulta,9,66,0
18084,64,544,"2020-01-16 01:45:32",NULL,"Soporte Externo",Configuración,9,64,0
18085,694,569,"2020-01-16 04:45:54",NULL,"Soporte Externo",Consulta,9,74,0
18086,694,559,"2020-01-16 04:49:53",NULL,"Soporte Externo",Consulta,9,67,0
18088,694,523,"2020-01-16 06:24:29",NULL,"Soporte Externo",Consulta,9,64,0
18089,64,563,"2020-01-16 06:45:04",NULL,"Soporte Externo",Capacitación,8,64,0
18090,694,530,"2020-01-16 06:45:18",NULL,"Soporte Externo",Consulta,9,64,0
18091,64,527,"2020-01-16 06:55:09",NULL,"Soporte Externo",Capacitación,9,67,0
18095,105,572,"2020-01-16 23:41:23",NULL,"Soporte Externo",Capacitación,9,67,0
18096,694,573,"2020-01-17 00:07:36",NULL,"Soporte Externo",Consulta,9,64,0
18099,694,574,"2020-01-17 01:53:24",NULL,"Soporte Externo","Base de datos (firebird)",9,65,0
18101,105,575,"2020-01-17 21:20:36",NULL,"Soporte Externo","Base de datos (firebird)",9,66,0
18102,105,576,"2020-01-17 21:54:39",NULL,"Soporte Externo",Capacitación,9,66,0
18103,105,535,"2020-01-17 21:59:48",NULL,"Soporte Externo",Capacitación,9,67,0
18104,694,537,"2020-01-17 22:09:06",NULL,"Soporte Externo",Consulta,9,64,0
